,type,times
fla-barthel-220-5.cnf,barthel,0.028173938393592834
unif-k3-r4.16-v1000000-c4160000-S3473990679862265595.cnf,unif_huge,10000.0
fla-barthel-340-1.cnf,barthel,0.6135622020810843
unif-k3-r4.2-v1000000-c4200000-S3436012548536479280.cnf,unif_huge,10000.0
fla-barthel-380-3.cnf,barthel,2.293852375820279
fla-komb-320-1.cnf,komb,0.7571037169545889
fla-qhid-200-5.cnf,qhid,0.14518429338932037
fla-qhid-220-5.cnf,qhid,0.2797840889543295
fla-qhid-220-4.cnf,qhid,0.048632632941007614
unif-k5-r18.4-v250000-c4600000-S7099425143442150496.cnf,unif_huge,10000.0
fla-komb-340-1.cnf,komb,2.3587727695703506
fla-barthel-360-4.cnf,barthel,0.028992770239710808
unif-p12-k7-r87.79-v120-c10535-S4950302271490602341.cnf,unif_medium,10000.0
fla-barthel-380-2.cnf,barthel,27.454403206706047
unif-k5-r18.2-v250000-c4550000-S4056491229056773009.cnf,unif_huge,10000.0
unif-k7-r63.0-v50000-c3150000-S883187648757620445.cnf,unif_huge,10000.0
fla-qhid-360-2.cnf,qhid,2.837199866771698
fla-barthel-320-1.cnf,barthel,0.6912368666380644
fla-komb-340-3.cnf,komb,4.5426038186997175
fla-barthel-260-5.cnf,barthel,0.18029049970209599
fla-komb-240-4.cnf,komb,0.15147659368813038
fla-komb-320-2.cnf,komb,1.9761103745549917
fla-komb-240-2.cnf,komb,0.09495753981173038
unif-k3-r4.06-v1000000-c4060000-S8854297002114571396.cnf,unif_huge,10000.0
fla-qhid-380-2.cnf,qhid,11.677425973117352
fla-komb-280-5.cnf,komb,0.4794895872473717
unif-k3-r3.98-v1000000-c3980000-S9064153533012388819.cnf,unif_huge,10000.0
unif-p12-k3-r4.267-v6000-c25602-S4960021833471409391.cnf,unif_medium,10000.0
fla-barthel-220-4.cnf,barthel,0.029802735894918442
unif-k5-r16.4-v250000-c4100000-S6787479651505253825.cnf,unif_huge,10000.0
unif-k7-r62.0-v50000-c3100000-S8604462353111796321.cnf,unif_huge,10000.0
fla-qhid-280-5.cnf,qhid,0.42857362888753414
fla-komb-320-3.cnf,komb,1.275767419487238
fla-komb-220-3.cnf,komb,0.06685933656990528
fla-qhid-280-2.cnf,qhid,0.9735201057046652
fla-komb-220-5.cnf,komb,0.22735894471406937
unif-p12-k3-r4.267-v6000-c25602-S4967461838574873878.cnf,unif_medium,10000.0
unif-k3-r3.96-v1000000-c3960000-S2241370121597250869.cnf,unif_huge,10000.0
fla-barthel-300-1.cnf,barthel,8.648148085922003
fla-komb-300-5.cnf,komb,1.6086029428988695
fla-komb-260-4.cnf,komb,0.3768432345241308
fla-qhid-340-1.cnf,qhid,3.809643093496561
fla-qhid-200-1.cnf,qhid,0.034770963713526726
fla-komb-400-3.cnf,komb,29.608376504853368
fla-komb-200-5.cnf,komb,0.046478208154439926
fla-barthel-240-5.cnf,barthel,1.058771463111043
fla-qhid-400-1.cnf,qhid,7.979501619935036
fla-barthel-220-3.cnf,barthel,0.15764791332185268
unif-k5-r16.8-v250000-c4200000-S6801814445171378634.cnf,unif_huge,10000.0
unif-p12-k3-r4.267-v6000-c25602-S549977101220318628.cnf,unif_medium,10000.0
unif-k5-r16.2-v250000-c4050000-S613656886518361508.cnf,unif_huge,10000.0
unif-p12-k7-r87.79-v120-c10535-S5582602121860341458.cnf,unif_medium,10000.0
fla-barthel-380-5.cnf,barthel,20.314489671960473
fla-komb-400-5.cnf,komb,49.394570434466004
unif-p12-k7-r87.79-v120-c10535-S4660298026247568027.cnf,unif_medium,10000.0
unif-k3-r4.08-v1000000-c4080000-S628946966701052084.cnf,unif_huge,10000.0
unif-k5-r17.0-v250000-c4250000-S5947654384939145987.cnf,unif_huge,10000.0
unif-p12-k7-r87.79-v120-c10535-S5007904325923928580.cnf,unif_medium,10000.0
fla-komb-320-4.cnf,komb,0.7663738075643778
fla-barthel-240-2.cnf,barthel,0.028676442801952362
fla-komb-260-2.cnf,komb,0.13377207145094872
fla-qhid-240-3.cnf,qhid,0.09688314236700535
fla-qhid-320-1.cnf,qhid,1.7029565665870905
fla-qhid-360-4.cnf,qhid,2.432930577546358
fla-komb-340-5.cnf,komb,2.8325273226946592
fla-barthel-300-4.cnf,barthel,7.041471654549241
fla-qhid-260-1.cnf,qhid,0.1309103351086378
fla-barthel-260-1.cnf,barthel,0.1587890386581421
fla-komb-260-1.cnf,komb,0.24154949747025967
unif-k5-r19.2-v250000-c4800000-S2731633484661045025.cnf,unif_huge,10000.0
fla-komb-280-3.cnf,komb,0.8417218811810017
unif-p12-k7-r87.79-v120-c10535-S7790513240682913181.cnf,unif_medium,10000.0
fla-barthel-340-2.cnf,barthel,23.041326673701406
unif-p12-k5-r21.117-v250-c5279-S9174904490903161459.cnf,unif_medium,10000.0
fla-qhid-360-3.cnf,qhid,2.0655654817819595
fla-barthel-320-4.cnf,barthel,2.1513965390622616
fla-komb-300-4.cnf,komb,1.0467615127563477
fla-qhid-360-1.cnf,qhid,5.298670435324311
fla-qhid-260-4.cnf,qhid,0.1383365336805582
fla-komb-320-5.cnf,komb,3.920475222170353
fla-qhid-200-2.cnf,qhid,0.06833158433437347
fla-barthel-280-1.cnf,barthel,3.499437466263771
fla-qhid-260-5.cnf,qhid,0.07740243710577488
unif-k7-r66.0-v50000-c3300000-S6452105525405296639.cnf,unif_huge,10000.0
fla-qhid-220-2.cnf,qhid,0.2106342427432537
fla-qhid-320-3.cnf,qhid,1.0249057728797197
unif-k7-r59.0-v50000-c2950000-S8293560195850272691.cnf,unif_huge,10000.0
unif-k7-r65.0-v50000-c3250000-S2519235649038747201.cnf,unif_huge,10000.0
fla-barthel-300-3.cnf,barthel,2.2354376558214426
fla-komb-240-3.cnf,komb,0.15861980617046356
fla-qhid-340-2.cnf,qhid,1.5400234684348106
fla-komb-240-5.cnf,komb,0.22894908487796783
fla-barthel-220-1.cnf,barthel,0.0648767463862896
unif-k3-r3.9-v1000000-c3900000-S934637000281618832.cnf,unif_huge,10000.0
fla-komb-260-5.cnf,komb,0.6516332980245352
fla-qhid-220-1.cnf,qhid,0.02032630518078804
unif-k5-r16.0-v250000-c4000000-S1951301313263461507.cnf,unif_huge,10000.0
fla-qhid-400-3.cnf,qhid,7.505672451108694
fla-barthel-360-5.cnf,barthel,0.679158803075552
unif-p12-k5-r21.117-v250-c5279-S4195889809507179901.cnf,unif_medium,10000.0
fla-barthel-360-1.cnf,barthel,16.118431001901627
fla-barthel-280-5.cnf,barthel,3.092990882694721
unif-k5-r19.6-v250000-c4900000-S1619500311433205587.cnf,unif_huge,10000.0
unif-p12-k7-r87.79-v120-c10535-S1700848295905845436.cnf,unif_medium,10000.0
unif-k3-r4.22-v1000000-c4220000-S8478585120714774272.cnf,unif_huge,10000.0
unif-k7-r72.0-v50000-c3600000-S1408994383594427146.cnf,unif_huge,10000.0
fla-qhid-280-4.cnf,qhid,0.3243299350142479
fla-komb-200-4.cnf,komb,0.06734787113964558
fla-barthel-240-1.cnf,barthel,0.057172741740942
fla-barthel-300-5.cnf,barthel,0.1482185646891594
fla-qhid-380-4.cnf,qhid,8.19582161679864
unif-k3-r4.0-v1000000-c4000000-S4191285608034358233.cnf,unif_huge,10000.0
unif-p12-k7-r87.79-v120-c10535-S8656562366226126891.cnf,unif_medium,10000.0
fla-qhid-340-5.cnf,qhid,0.5587831288576126
fla-barthel-320-3.cnf,barthel,0.25376649387180805
fla-barthel-400-1.cnf,barthel,325.55839768238366
fla-barthel-380-1.cnf,barthel,23.112303042784333
unif-k3-r3.86-v1000000-c3860000-S6264851850704547129.cnf,unif_huge,10000.0
fla-barthel-340-3.cnf,barthel,19.279702305793762
fla-qhid-400-2.cnf,qhid,6.372971607372165
fla-qhid-240-1.cnf,qhid,0.17544356174767017
fla-barthel-200-5.cnf,barthel,0.4879101738333702
fla-komb-280-1.cnf,komb,2.484653575345874
fla-barthel-200-4.cnf,barthel,0.028365608304739
fla-qhid-300-5.cnf,qhid,0.09170561097562313
unif-k7-r64.0-v50000-c3200000-S8650594619146919464.cnf,unif_huge,10000.0
fla-barthel-240-3.cnf,barthel,0.038029223680496216
fla-barthel-320-2.cnf,barthel,1.0070160068571568
fla-komb-360-1.cnf,komb,7.417129145935178
unif-k5-r17.2-v250000-c4300000-S5323320306659936491.cnf,unif_huge,10000.0
fla-qhid-360-5.cnf,qhid,11.942489486187696
fla-qhid-340-3.cnf,qhid,3.7104032412171364
fla-qhid-200-4.cnf,qhid,0.07072008773684502
fla-qhid-380-1.cnf,qhid,6.346631044521928
unif-p12-k5-r21.117-v250-c5279-S3852885293456971873.cnf,unif_medium,10000.0
fla-komb-300-1.cnf,komb,0.028129201382398605
unif-p12-k3-r4.267-v6000-c25602-S8152045982034422163.cnf,unif_medium,10000.0
unif-k3-r4.14-v1000000-c4140000-S8434651259741795549.cnf,unif_huge,10000.0
fla-qhid-220-3.cnf,qhid,0.035313915461301804
unif-k3-r3.94-v1000000-c3940000-S840691731903063570.cnf,unif_huge,10000.0
fla-qhid-320-5.cnf,qhid,1.452088302001357
unif-p12-k3-r4.267-v6000-c25602-S8056199468750060857.cnf,unif_medium,10000.0
unif-k7-r70.0-v50000-c3500000-S1943310965622091429.cnf,unif_huge,10000.0
fla-komb-380-2.cnf,komb,2.3466181606054306
fla-komb-280-2.cnf,komb,0.4075725618749857
fla-qhid-300-1.cnf,qhid,1.8005002718418837
fla-qhid-240-4.cnf,qhid,0.1321182120591402
unif-p12-k7-r87.79-v120-c10535-S4588135163192913747.cnf,unif_medium,10000.0
fla-barthel-320-5.cnf,barthel,5.327967997640371
fla-qhid-380-5.cnf,qhid,5.956052217632532
unif-k3-r3.88-v1000000-c3880000-S988330601699829825.cnf,unif_huge,10000.0
fla-barthel-340-5.cnf,barthel,75.98222392611206
unif-k5-r16.6-v250000-c4150000-S802792001249715031.cnf,unif_huge,10000.0
fla-barthel-200-1.cnf,barthel,0.030957916751503944
unif-k5-r17.6-v250000-c4400000-S1626301720047942661.cnf,unif_huge,10000.0
unif-p12-k5-r21.117-v250-c5279-S1173863765273039011.cnf,unif_medium,10000.0
fla-barthel-340-4.cnf,barthel,3.506143234670162
fla-komb-260-3.cnf,komb,0.05072770453989506
fla-qhid-200-3.cnf,qhid,0.05063522979617119
unif-p12-k5-r21.117-v250-c5279-S2438009238149215611.cnf,unif_medium,10000.0
fla-komb-340-2.cnf,komb,3.335535377264023
fla-barthel-200-2.cnf,barthel,0.10884372517466545
fla-komb-380-1.cnf,komb,0.9856181144714355
fla-barthel-360-3.cnf,barthel,16.109975770115852
fla-qhid-300-4.cnf,qhid,0.38030254282057285
unif-k5-r17.4-v250000-c4350000-S5797512427540361148.cnf,unif_huge,10000.0
fla-qhid-260-2.cnf,qhid,0.04979778081178665
unif-k3-r4.24-v1000000-c4240000-S6562917690220172049.cnf,unif_huge,10000.0
fla-barthel-360-2.cnf,barthel,52.19794205389917
fla-qhid-280-3.cnf,qhid,0.25343567319214344
unif-p12-k3-r4.267-v6000-c25602-S7439270938929137359.cnf,unif_medium,10000.0
fla-komb-380-4.cnf,komb,11.753673259168863
fla-komb-400-1.cnf,komb,10.830396188423038
fla-komb-360-5.cnf,komb,5.9965894017368555
fla-qhid-300-3.cnf,qhid,0.8628596272319555
unif-k7-r57.0-v50000-c2850000-S2212637342005307362.cnf,unif_huge,10000.0
fla-komb-400-2.cnf,komb,12.79394207522273
fla-qhid-320-2.cnf,qhid,0.038960983976721764
fla-komb-360-2.cnf,komb,16.695100147277117
unif-p12-k5-r21.117-v250-c5279-S4586200002967184633.cnf,unif_medium,10000.0
fla-qhid-320-4.cnf,qhid,0.2910858988761902
unif-k3-r4.1-v1000000-c4100000-S3006438305194930998.cnf,unif_huge,10000.0
unif-k7-r56.0-v50000-c2800000-S195225285383953492.cnf,unif_huge,10000.0
fla-komb-200-2.cnf,komb,0.09448518231511116
fla-qhid-280-1.cnf,qhid,0.4550573583692312
unif-p12-k5-r21.117-v250-c5279-S5146849569236987172.cnf,unif_medium,10000.0
fla-komb-360-4.cnf,komb,6.3743935842067
fla-barthel-380-4.cnf,barthel,3.8853799365460873
unif-p12-k3-r4.267-v6000-c25602-S576544832046034583.cnf,unif_medium,10000.0
fla-komb-200-3.cnf,komb,0.03145534731447697
fla-barthel-220-2.cnf,barthel,0.7922096513211727
unif-k7-r60.0-v50000-c3000000-S3068543204637854689.cnf,unif_huge,10000.0
fla-komb-200-1.cnf,komb,0.05066194757819176
fla-komb-280-4.cnf,komb,0.5270530879497528
unif-p12-k7-r87.79-v120-c10535-S897752819350874950.cnf,unif_medium,10000.0
unif-k5-r19.4-v250000-c4850000-S4977239046383547695.cnf,unif_huge,10000.0
fla-komb-240-1.cnf,komb,0.23376548662781715
unif-p12-k5-r21.117-v250-c5279-S7988922722568135701.cnf,unif_medium,10000.0
unif-k7-r61.0-v50000-c3050000-S6175973465776030224.cnf,unif_huge,10000.0
unif-k5-r18.0-v250000-c4500000-S7004037792953090463.cnf,unif_huge,10000.0
fla-qhid-400-4.cnf,qhid,5.310795007273555
fla-komb-380-3.cnf,komb,0.6828805860131979
unif-k3-r4.04-v1000000-c4040000-S2723657137554619985.cnf,unif_huge,10000.0
fla-barthel-400-4.cnf,barthel,25.584468385204673
unif-k3-r4.12-v1000000-c4120000-S2546611150396784489.cnf,unif_huge,10000.0
fla-barthel-280-2.cnf,barthel,0.10599952191114426
fla-qhid-260-3.cnf,qhid,0.11409639939665794
unif-k3-r3.92-v1000000-c3920000-S6478714752512805755.cnf,unif_huge,10000.0
unif-k7-r68.0-v50000-c3400000-S4442431645467418102.cnf,unif_huge,10000.0
fla-barthel-260-3.cnf,barthel,0.3644080311059952
unif-p12-k5-r21.117-v250-c5279-S4431368113368578217.cnf,unif_medium,10000.0
fla-komb-340-4.cnf,komb,5.291363527998328
fla-barthel-400-2.cnf,barthel,3.6918356120586395
unif-k7-r69.0-v50000-c3450000-S2189308032964145056.cnf,unif_huge,10000.0
unif-k7-r73.0-v50000-c3650000-S7543884219799471280.cnf,unif_huge,10000.0
unif-p12-k5-r21.117-v250-c5279-S8618839184587418381.cnf,unif_medium,10000.0
fla-qhid-240-5.cnf,qhid,0.34152908995747566
unif-p12-k7-r87.79-v120-c10535-S8229271266424213663.cnf,unif_medium,10000.0
unif-k3-r4.02-v1000000-c4020000-S6026103505991187175.cnf,unif_huge,10000.0
fla-komb-360-3.cnf,komb,17.840737849473953
unif-k7-r67.0-v50000-c3350000-S842956992632297945.cnf,unif_huge,10000.0
unif-k7-r74.0-v50000-c3700000-S9166766536875706726.cnf,unif_huge,10000.0
fla-barthel-200-3.cnf,barthel,0.014849578961730003
fla-qhid-240-2.cnf,qhid,0.04395022429525852
unif-k5-r19.0-v250000-c4750000-S2088952204313190494.cnf,unif_huge,10000.0
unif-k5-r17.8-v250000-c4450000-S3493899910210087180.cnf,unif_huge,10000.0
fla-barthel-260-4.cnf,barthel,1.38400917686522
fla-barthel-400-3.cnf,barthel,3.5141640957444906
fla-komb-220-1.cnf,komb,0.13502675853669643
unif-p12-k3-r4.267-v6000-c25602-S6852714315188707777.cnf,unif_medium,10000.0
unif-k5-r18.6-v250000-c4650000-S4524960827059429065.cnf,unif_huge,10000.0
unif-k3-r4.18-v1000000-c4180000-S8945059457148426366.cnf,unif_huge,10000.0
unif-k7-r71.0-v50000-c3550000-S3769378688654528826.cnf,unif_huge,10000.0
fla-komb-220-4.cnf,komb,0.1509006153792143
fla-barthel-280-3.cnf,barthel,0.14367198944091797
fla-barthel-300-2.cnf,barthel,0.7883209846913815
fla-barthel-240-4.cnf,barthel,0.06438861601054668
fla-qhid-400-5.cnf,qhid,7.29673776216805
fla-barthel-400-5.cnf,barthel,27.572300313040614
unif-k5-r18.8-v250000-c4700000-S8770997695881968895.cnf,unif_huge,10000.0
fla-barthel-260-2.cnf,barthel,0.07311993651092052
fla-komb-220-2.cnf,komb,0.09503285586833954
unif-p12-k3-r4.267-v6000-c25602-S5214439831496291225.cnf,unif_medium,10000.0
fla-qhid-340-4.cnf,qhid,5.246143018826842
fla-komb-400-4.cnf,komb,0.32747582346200943
fla-komb-380-5.cnf,komb,11.63845787756145
unif-p12-k3-r4.267-v6000-c25602-S4604754340098479598.cnf,unif_medium,10000.0
unif-k7-r55.0-v50000-c2750000-S3881730705853820878.cnf,unif_huge,10000.0
fla-qhid-300-2.cnf,qhid,0.2057636510580778
fla-qhid-380-3.cnf,qhid,19.173124384135008
unif-k5-r19.8-v250000-c4950000-S5874182606617708346.cnf,unif_huge,10000.0
fla-komb-300-2.cnf,komb,2.3503930922597647
fla-komb-300-3.cnf,komb,0.7919239699840546
fla-barthel-280-4.cnf,barthel,4.707121158018708
unif-k7-r58.0-v50000-c2900000-S6707182710628844401.cnf,unif_huge,10000.0
